model,hidden_dim,num_layers,num_heads,dropout,lr,label_weight,val_loss,AUPR
transformer,256,2,2,0.1,0.001,"(0.228, 5.802)",0.09506940096616745,0.529140407613131
transformer,128,3,4,0.2,0.001,"(0.78324, 8.46187)",0.1390867680311203,0.527569075722636
transformer,128,3,4,0.1,0.0007585775750291836,"(0.69317, 24.61498)",0.364530473947525,0.5274254805151372
transformer,128,3,2,0.2,0.0007585775750291836,"(0.78324, 8.46187)",0.14022620022296906,0.5273062216574389
transformer,128,2,4,0.1,0.001,"(0.228, 5.802)",0.08163164556026459,0.5272994785582302
transformer,128,2,2,0.3,0.0007585775750291836,"(0.78324, 8.46187)",0.1542520970106125,0.5268216631253395
transformer,64,2,4,0.1,0.001,"(0.69317, 24.61498)",0.32297685742378235,0.5258657604418231
transformer,64,2,2,0.1,0.0007585775750291836,"(0.78324, 8.46187)",0.13332250714302063,0.5256704736020049
transformer,256,2,2,0.1,0.001,"(0.78324, 8.46187)",0.1739518791437149,0.5254316681545146
transformer,128,3,4,0.2,0.001,"(0.228, 5.802)",0.09006961435079575,0.5251540809975032
transformer,64,2,4,0.2,0.001,"(0.78324, 8.46187)",0.12569387257099152,0.5250633934104023
transformer,256,3,2,0.1,0.0007585775750291836,"(0.69317, 24.61498)",0.3831687867641449,0.5246672835732965
transformer,256,2,4,0.1,0.001,"(0.228, 5.802)",0.1011461690068245,0.5242985708541654
transformer,128,2,4,0.1,0.0007585775750291836,"(0.69317, 24.61498)",0.3895913362503052,0.5242171335738659
transformer,128,3,2,0.2,0.001,"(0.78324, 8.46187)",0.13610084354877472,0.5237334625975708
transformer,128,3,2,0.3,0.001,"(0.78324, 8.46187)",0.13151699304580688,0.523228906582077
transformer,128,2,4,0.2,0.001,"(0.228, 5.802)",0.08797132968902588,0.522960265702047
transformer,256,3,2,0.1,0.0007585775750291836,"(0.228, 5.802)",0.10572981089353561,0.5225799337533025
transformer,128,3,2,0.1,0.001,"(0.78324, 8.46187)",0.16033466160297394,0.52235506498422
transformer,256,2,2,0.1,0.0007585775750291836,"(0.228, 5.802)",0.09682347625494003,0.5222682598529435
transformer,64,2,4,0.1,0.001,"(0.78324, 8.46187)",0.12254983186721802,0.5207852668252917
transformer,128,3,4,0.1,0.001,"(0.78324, 8.46187)",0.15108102560043335,0.5207286695750363
transformer,256,2,2,0.2,0.0007585775750291836,"(0.228, 5.802)",0.09349068999290466,0.5199808579156963
transformer,64,2,2,0.1,0.0007585775750291836,"(0.228, 5.802)",0.07554171979427338,0.5198935350461069
transformer,128,3,4,0.2,0.0007585775750291836,"(0.228, 5.802)",0.08886165171861649,0.5198873099148208
transformer,64,2,4,0.1,0.0007585775750291836,"(0.78324, 8.46187)",0.13106514513492584,0.5196405970199057
transformer,64,2,2,0.2,0.0007585775750291836,"(0.78324, 8.46187)",0.12613727152347565,0.5192351746775
transformer,128,2,4,0.2,0.0007585775750291836,"(0.228, 5.802)",0.0767381563782692,0.5191373800190379
transformer,64,2,4,0.1,0.0007585775750291836,"(0.69317, 24.61498)",0.29650452733039856,0.5190821414909429
transformer,128,2,2,0.1,0.0007585775750291836,"(0.69317, 24.61498)",0.3902166783809662,0.5184060862378543
transformer,128,2,2,0.1,0.001,"(0.78324, 8.46187)",0.14404858648777008,0.5183529385349868
transformer,256,2,2,0.1,0.0007585775750291836,"(0.69317, 24.61498)",0.39345160126686096,0.5183231362578109
transformer,128,3,2,0.1,0.001,"(0.228, 5.802)",0.0790415033698082,0.5180126876647103
transformer,128,3,4,0.1,0.001,"(0.69317, 24.61498)",0.30452603101730347,0.5175180653288867
transformer,128,3,4,0.3,0.0007585775750291836,"(0.78324, 8.46187)",0.1453840434551239,0.5172069829675997
transformer,64,3,4,0.2,0.001,"(0.78324, 8.46187)",0.12386278063058853,0.5171018171870859
