model,hidden_dim,num_layers,kernel_size,dropout,lr,label_weight,val_loss,AUPR
cnn,256,2,17,0.3,0.001,"(0.228, 5.802)",0.1805596500635147,0.5017194038438945
cnn,128,2,15,0.1,0.001,"(0.78324, 8.46187)",0.2980196475982666,0.5015323190947086
cnn,128,2,13,0.2,0.001,"(0.69317, 24.61498)",0.8084809184074402,0.5011748825713134
cnn,256,2,13,0.1,0.0005,"(0.78324, 8.46187)",0.2848600149154663,0.5008503287950211
cnn,256,2,13,0.3,0.0005,"(0.69317, 24.61498)",0.7588164210319519,0.5007979537892422
cnn,256,2,17,0.1,0.001,"(0.78324, 8.46187)",0.2810485064983368,0.500760108343681
cnn,128,2,15,0.2,0.001,"(0.69317, 24.61498)",0.8425562977790833,0.5005467921762073
cnn,256,2,15,0.1,0.0005,"(0.228, 5.802)",0.20040349662303925,0.50029459687887
cnn,256,2,17,0.2,0.0005,"(0.78324, 8.46187)",0.3035382628440857,0.499835258761583
cnn,256,2,17,0.2,0.001,"(0.78324, 8.46187)",0.30417394638061523,0.499797457401387
cnn,128,2,13,0.3,0.001,"(0.78324, 8.46187)",0.2649928033351898,0.49931801864833747
cnn,128,2,15,0.2,0.001,"(0.228, 5.802)",0.1944875717163086,0.49847383024597475
cnn,128,2,15,0.2,0.0005,"(0.228, 5.802)",0.1922188550233841,0.497939021811642
cnn,128,2,17,0.2,0.0005,"(0.228, 5.802)",0.18564464151859283,0.497266106382162
cnn,128,2,17,0.1,0.0005,"(0.228, 5.802)",0.18938367068767548,0.49707135700737703
cnn,128,2,17,0.2,0.001,"(0.78324, 8.46187)",0.3056299388408661,0.4968870240435554
cnn,256,2,17,0.1,0.0005,"(0.78324, 8.46187)",0.293544203042984,0.49661115252093535
cnn,128,2,15,0.1,0.0005,"(0.228, 5.802)",0.19121384620666504,0.4965722494507518
cnn,256,2,15,0.1,0.001,"(0.69317, 24.61498)",0.7828884720802307,0.4961057849629811
cnn,128,2,17,0.2,0.0005,"(0.78324, 8.46187)",0.2893435060977936,0.49529868818869316
cnn,128,2,17,0.1,0.001,"(0.69317, 24.61498)",0.7751280665397644,0.4951048154733854
cnn,256,2,17,0.3,0.0005,"(0.69317, 24.61498)",0.8001415133476257,0.49484067121338143
cnn,256,2,13,0.3,0.001,"(0.228, 5.802)",0.1844969242811203,0.4940618065573021
cnn,128,2,17,0.3,0.0005,"(0.78324, 8.46187)",0.28036975860595703,0.4932570148729318
cnn,256,2,15,0.3,0.0005,"(0.69317, 24.61498)",0.758212149143219,0.49316205344018743
cnn,128,2,17,0.2,0.0005,"(0.69317, 24.61498)",0.7732741236686707,0.4929509047954741
cnn,128,2,17,0.3,0.0005,"(0.228, 5.802)",0.19528798758983612,0.4921900555888184
cnn,128,2,17,0.1,0.0005,"(0.78324, 8.46187)",0.29048874974250793,0.49149354402248613
cnn,256,2,17,0.2,0.001,"(0.78324, 8.46187)",0.27785488963127136,0.4914844712488724
cnn,128,2,15,0.1,0.0005,"(0.78324, 8.46187)",0.27465692162513733,0.4911568404537989
cnn,128,2,15,0.3,0.0005,"(0.228, 5.802)",0.18371234834194183,0.49095820239865123
cnn,128,2,17,0.1,0.0005,"(0.69317, 24.61498)",0.7035006880760193,0.49059892611363476
cnn,128,2,15,0.3,0.0005,"(0.78324, 8.46187)",0.2829709053039551,0.4901366530404654
cnn,128,2,15,0.1,0.0005,"(0.69317, 24.61498)",0.7997856736183167,0.4900806733457502
cnn,128,2,17,0.3,0.0005,"(0.69317, 24.61498)",0.7826483845710754,0.4896788210724689
cnn,128,2,15,0.2,0.0005,"(0.69317, 24.61498)",0.7434046268463135,0.4890192294885656
cnn,128,2,15,0.3,0.0005,"(0.69317, 24.61498)",0.7679328322410583,0.4887652311603898
cnn,128,2,13,0.1,0.0005,"(0.78324, 8.46187)",0.2768997251987457,0.487058235961386
cnn,256,2,13,0.2,0.001,"(0.78324, 8.46187)",0.3163497745990753,0.4862418581720173
cnn,128,2,13,0.1,0.0005,"(0.228, 5.802)",0.17010755836963654,0.4852390281440971
cnn,128,2,15,0.2,0.0005,"(0.78324, 8.46187)",0.2871432602405548,0.4843076443856303
cnn,128,2,13,0.1,0.0005,"(0.69317, 24.61498)",0.7801982760429382,0.4839861052435744
cnn,128,2,13,0.3,0.0005,"(0.78324, 8.46187)",0.27801403403282166,0.4837497575522795
cnn,128,2,13,0.2,0.0005,"(0.78324, 8.46187)",0.27174490690231323,0.4837160595766304
cnn,128,2,13,0.1,0.0005,"(0.3865, 8.46187)",0.27035173773765564,0.4823377145360697
cnn,128,2,13,0.3,0.0005,"(0.3865, 8.46187)",0.25850772857666016,0.4817949251525841
cnn,128,2,13,0.3,0.0005,"(0.228, 5.802)",0.18375761806964874,0.4807357468244527
cnn,128,2,13,0.2,0.0005,"(0.69317, 24.61498)",0.787928581237793,0.47885724723988937
cnn,128,2,13,0.3,0.0005,"(0.69317, 24.61498)",0.7621104121208191,0.4771869364578936
cnn,128,2,13,0.2,0.0005,"(0.3865, 8.46187)",0.27598801255226135,0.47546186599031365
cnn,256,2,13,0.1,0.001,"(0.69317, 24.61498)",0.6866468787193298,0.4725275977131189
cnn,128,2,13,0.2,0.0005,"(0.228, 5.802)",0.17938025295734406,0.471152863447003
