train_loss,epoch,step,val_loss,MCC,AUPR,test_loss
0.2857952415943146,0,49,,,,
0.08991415798664093,0,99,,,,
0.06818437576293945,0,149,,,,
0.07563543319702148,0,199,,,,
0.18326877057552338,0,249,,,,
0.17964333295822144,0,299,,,,
0.11365511268377304,1,349,,,,
0.1514168679714203,1,399,,,,
0.03375404328107834,1,449,,,,
0.06439381092786789,1,499,,,,
0.054341502487659454,1,549,,,,
0.02471720241010189,1,599,,,,
0.038261860609054565,2,649,,,,
0.08327196538448334,2,699,,,,
0.03676144406199455,2,749,,,,
0.05061040818691254,2,799,,,,
0.05183915048837662,2,849,,,,
0.09123198688030243,2,899,,,,
0.028550906106829643,3,949,,,,
0.048011310398578644,3,999,,,,
0.03722487762570381,3,1049,,,,
0.03526606038212776,3,1099,,,,
0.036973677575588226,3,1149,,,,
0.054075419902801514,3,1199,,,,
0.04033651202917099,4,1249,,,,
0.014442631043493748,4,1299,,,,
0.02764926664531231,4,1349,,,,
0.014197871088981628,4,1399,,,,
0.03577177971601486,4,1449,,,,
0.021039839833974838,4,1499,,,,
0.026719247922301292,5,1549,,,,
0.019200308248400688,5,1599,,,,
0.020809069275856018,5,1649,,,,
0.008433709852397442,5,1699,,,,
0.032493188977241516,5,1749,,,,
0.021302469074726105,5,1799,,,,
0.017546772956848145,6,1849,,,,
0.018877491354942322,6,1899,,,,
0.019430847838521004,6,1949,,,,
0.014137391932308674,6,1999,,,,
0.026945587247610092,6,2049,,,,
0.012547836638987064,6,2099,,,,
0.008349581621587276,6,2149,,,,
0.02126281149685383,7,2199,,,,
0.009854638017714024,7,2249,,,,
0.008614057675004005,7,2299,,,,
0.027962196618318558,7,2349,,,,
0.03079054318368435,7,2399,,,,
0.04066068306565285,7,2449,,,,
0.007342601660639048,8,2499,,,,
0.01266185101121664,8,2549,,,,
0.01915072835981846,8,2599,,,,
0.01679956540465355,8,2649,,,,
0.004905499052256346,8,2699,,,,
0.01710335724055767,8,2749,,,,
0.010976940393447876,9,2799,,,,
0.007284688763320446,9,2849,,,,
0.013146472163498402,9,2899,,,,
0.02551409788429737,9,2949,,,,
0.008124195039272308,9,2999,,,,
0.009054142981767654,9,3049,,,,
